"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","cis","cis_trans","trans","total_cis","total_cis_trans","total_trans","cis_in_gc","cis_trans_in_gc","trans_in_gc"
"Coronary Artery Disease","72/981",2.36786853818928e-15,1.16830633674259e-11,0,0,3.23897587996685,109.078298201693,"TDRKH;IL1RN;FEN1;TEX41;IRS1;ITGB3;TCF21;UBE2Z;COMT;LIPA;CARF;SMG6;FADS2;EDNRA;ALDH2;DHX58;IL6R;ADAMTS7;BCAS3;IL15RA;GUCY1A1;SWAP70;ITGA1;HLA-C;SHROOM3;MRPS6;PGF;MRAS;CFDP1;PSRC1;NOS1AP;UHRF1BP1;DAGLB;UMPS;PPIA;JCAD;SLC22A3;KCNE2;GSTP1;LPL;FURIN;HMGCR;ABO;ATXN2;ZNF827;PDGFD;SERPINH1;SH2B3;NEK9;CDKN2B;TGFB1;SUSD2;HCG27;DAB2IP;NBEAL1;ATP2B1;IGF2R;SMARCA4;GGCX;FES;SCD;ESYT3;BCAR1","ADM;PLB1;AS3MT;FCGR3B;LEPR;KDR;SELENOI;MIR3936HG","PHACTR1",63,8,1,36,2,1
"Angina Pectoris","15/59",2.24805359285991e-11,5.5459482135854e-08,0,0,12.9625511474827,317.82064139337,"TDRKH;BCAS3;TGFB1;SWAP70;ATP2B1;LIPA;CARF;SMG6;ATXN2;MRAS;GGCX;FES;IL6R;JCAD","","PHACTR1",14,0,1,13,0,1
"Myocardial Infarction","56/966",2.53992780399273e-08,4.17733459496671e-05,0,0,2.43063829787234,42.5083274624098,"TDRKH;IL1RN;ITGB3;PTEN;COMT;LIPA;CARF;SMG6;FADS2;EDNRA;ALDH2;DAG1;IL6R;ADAMTS7;BCAS3;GUCY1A1;ABCC1;PTGIS;SWAP70;ITGA1;HLA-B;HLA-C;PGF;MRAS;PLCB1;JCAD;ENG;KCNE2;GSTP1;LPL;HMGCR;ABO;ATXN2;PDGFD;ATG7;SH2B3;CDKN2B;TGFB1;CMA1;DAB2IP;ATP2B1;IGF2R;SMARCA4;GGCX;FES;PDE3A","ADM;PLB1;FCGR3B;BECN1;YY1AP1","PHACTR1;ANK2;DGKZ;EMC8;TXNRD1",46,5,5,25,0,1
"Ischemic cardiomyopathy","16/116",6.43165447425368e-08,7.93344579399191e-05,0,0,6.07811764705882,100.650278787167,"TDRKH;BCAS3;TGFB1;IGFBP3;SWAP70;ATP2B1;LIPA;CARF;SMG6;ATXN2;MRAS;GGCX;FES;IL6R;JCAD","","PHACTR1",15,0,1,13,0,1
"Coronary Arteriosclerosis","45/760",3.62201581548249e-07,0.000357420520671812,0,0,2.45454545454545,36.4035229977303,"SLC22A3;IL1RN;FEN1;IRS1;ITGB3;TCF21;LPL;HMGCR;UBE2Z;COMT;LIPA;ABO;FADS2;EDNRA;ALDH2;PDGFD;SERPINH1;SH2B3;IL6R;ADAMTS7;IL15RA;CDKN2B;GUCY1A1;TGFB1;DAB2IP;ATP2B1;MRPS6;PGF;SMARCA4;MRAS;CFDP1;PSRC1;SCD;NOS1AP;ESYT3;PPIA;BCAR1;JCAD","PLB1;AS3MT;FCGR3B;LEPR;KDR","PHACTR1;ANK2",38,5,2,19,1,1
"Serum total cholesterol measurement","24/307",2.23894973224621e-06,0.0018411629964838,0,0,3.24204243098278,42.1773629093015,"CSNK1G3;ABCC1;IRS1;ICA1L;SLC22A1;PTEN;LPL;HPR;HMGCR;ATP2B1;SPTY2D1;THOC5;ABO;IGF2R;SMARCA4;FKBP1A;FADS2;CARM1;NOS1AP;ZNF568;SH2B3;BCAR1","PRKCB;KDR","",22,2,0,8,0,0
"Coronary heart disease","46/913",1.98367127951381e-05,0.0139820487044587,0,0,2.05671376393695,22.2700475947293,"SLC22A3;IL1RN;FEN1;IRS1;ITGB3;SLC22A1;TCF21;LPL;HMGCR;UBE2Z;COMT;LIPA;ABO;SMG6;FADS2;ATXN2;EDNRA;ALDH2;SH2B3;IL6R;ADAMTS7;IL15RA;CDKN2B;TGFB1;IGFBP3;DAB2IP;ATP2B1;PGF;SMARCA4;MRAS;CFDP1;PSRC1;SCD;NOS1AP;ESYT3;PPIA;BCAR1;JCAD","PLB1;AS3MT;FCGR3B;LEPR;KDR;SH3BGR","PHACTR1;SOX9",38,6,2,19,1,1
"Acute Cerebrovascular Accidents","11/91",2.6563692314455e-05,0.014638270833694,0,0,5.17800970873786,54.5553302267751,"IL1RN;EDNRA;TGFB1;LRCH1;SH3PXD2A;ITGB3;PDE3A;SH2B3;ABO","KCNK3","ANK2",9,1,1,5,0,0
"Cardiovascular Diseases","41/787",2.67013452580555e-05,0.014638270833694,0,0,2.12224095519748,22.3488878558126,"IL1RN;IRS1;GIPR;ITGB3;LPL;HMGCR;COMT;LIPA;ABO;FADS2;EDNRA;APOL6;ALDH2;SERPINH1;SH2B3;IL6R;CDKN2B;TGFB1;PTGIS;IGFBP3;HLA-B;HLA-C;LNPEP;PGF;SMARCA4;SCD;PDE3A;PPIA;JCAD;ENG;CERS2","BECN1;ADM;PLB1;AS3MT;FCGR3B;LEPR","HSF1;SLC12A2;TXNRD1;ANK2",31,6,4,14,1,0
"Lipoprotein (a) measurement","5/17",5.8778605725522e-05,0.0271295279709487,0,0,15.564619321817,151.62635972591,"SLC22A3;SLC22A1;SERAC1;IGF2R","DSCAML1","",4,1,0,2,0,0
"Diastolic blood pressure","12/117",6.0483341645812e-05,0.0271295279709487,0,0,4.30661478599222,41.8307634342673,"BAG6;PREX1;ATXN2;TEX41;FES;SWAP70;ATP2B1;PLCB1;SH2B3;SLC8A1;CMIP;ADAMTS7","","",12,0,0,10,0,0
"Metastatic Prostate Carcinoma","18/241",7.42150883455195e-05,0.0294433147522961,0,0,3.05884326118428,29.0851429284914,"TGFB1;MCM7;DAB2IP;PTEN;TWIST1;RUNX2;ACAT1;PREX1;NPEPPS;EDNRA;ADAM15;HYAL1;ATG7;BCAR1;ENG","BECN1;KDR;SPARCL1","",15,3,0,4,0,0
"Crohn Disease","44/912",8.28151892908869e-05,0.0294433147522961,0,0,1.95676616249498,18.3914476606843,"IL1RN;FEN1;SLC22A5;TEX41;ITGB3;SLC22A1;TWIST1;LPL;APEH;AIF1;ABO;NPEPPS;FADS2;KIAA1109;ATXN2;PPP2R3C;CHEK2;DAG1;SH2B3;IL6R;BCAS3;IL15RA;MAP2K1;TGFB1;SYT1;IGFBP3;HLA-B;HLA-C;LYZ;P4HA2;RFT1","INTS11;LPP;PLB1;FCGR3B;KIF3A;KDR;NSF;PRKCB;MIR3936HG;FCHSD2;PSMG1","RBX1;GALM",31,11,2,9,1,0
"Cerebellar cyst","4/10",8.75612256406731e-05,0.0294433147522961,0,0,24.8633461047254,232.302526304767,"DAG1;POMGNT1","POMT2","EXOSC3",2,1,1,0,0,0
"Arteriosclerosis","50/1087",8.95114960041429e-05,0.0294433147522961,0,0,1.86755994586841,17.4077942390087,"DDR1;IL1RN;IRS1;ITGB3;TCF21;LIPA;FADS2;EDNRA;ALDH2;DAG1;IL6R;ADAMTS7;MAP2K1;PTGIS;HLA-C;PGF;ADAM15;NOS1AP;PPIA;ENG;CSF1R;KCNE2;SLC22A1;LPL;FURIN;HMGCR;AIF1;ABO;ACAT1;APOL6;PDGFD;CDKN2B;TGFB1;DAB2IP;SNF8;LYZ;SMARCA4;SCD;TBXAS1","ADM;PLB1;ADAMTS4;AS3MT;FCGR3B;LEPR;KDR;PRKCB;BECN1;SUCNR1","CCAR2",39,10,1,12,1,0
"Epithelial ovarian cancer","58/1329",0.000102352990712378,0.0315631035109296,0,0,1.77492317106794,16.3063665370893,"DDR1;IL1RN;FEN1;PTEN;TCF21;COMT;EFEMP2;EDNRA;CHAF1A;ALDH2;HYAL1;CHEK2;HORMAD1;IL6R;MAP2K1;ABCC1;IGFBP3;GOLPH3L;HLA-C;RUNX2;RAD51C;ENG;CSF1R;SLC22A3;GSTP1;SYNPO2;TWIST1;HPR;ABO;MAPK9;ST3GAL5;ATG7;SPAG9;CDKN2B;TGFB1;SYT1;RYK;C1GALT1;SPRY4;SLC4A11;LNPEP;STAG3;CARM1;BCAR1","ADM;PLB1;TTC28;KDR;NSF;ACOT7;BECN1;HSD17B12;IP6K2;PSMG1;BLMH;FGFR4","BTG1;HSF1",44,12,2,10,2,0
"Hypertensive disease","57/1310",0.000127464103810726,0.0363550648324745,0,0,1.76735238412884,15.8490431552874,"DDR1;IL1RN;IRS1;PTEN;PTPRJ;COMT;SLC8A1;EDNRA;ALDH2;CHEK2;DAG1;PGPEP1;GUCY1A1;ABCC1;PTGIS;SFMBT1;IGFBP3;HLA-B;SDHB;PGF;HMBS;PPIA;ENG;SLC22A3;PLEKHH2;SLC22A5;GSTP1;TWIST1;LPL;NT5C2;ABO;ACAT1;BAG6;SRR;ATG7;SH2B3;CDKN2B;TGFB1;CMA1;ATP2B1;LYZ;SMARCA4;FES;TBXAS1;PDE3A","ADM;LEPR;KDR;PRKCB;BECN1;SUCNR1;YY1AP1;PSMG1;FGFR4;KCNK3","PHACTR1;SLC12A2",45,10,2,18,1,1
"Atherosclerosis","51/1134",0.000132628935343442,0.0363550648324745,0,0,1.82328036156874,16.2781655469567,"DDR1;IL1RN;IRS1;ITGB3;TCF21;LIPA;FADS2;EDNRA;ALDH2;DAG1;IL6R;ADAMTS7;MAP2K1;PTGIS;IGFBP3;HLA-C;PGF;CFDP1;ADAM15;NOS1AP;PPIA;ENG;CSF1R;KCNE2;SLC22A1;LPL;FURIN;HMGCR;AIF1;ABO;ACAT1;APOL6;PDGFD;CDKN2B;TGFB1;SNF8;LYZ;SMARCA4;GGCX;SCD","ADM;PLB1;ADAMTS4;AS3MT;FCGR3B;LEPR;KDR;PRKCB;BECN1;SUCNR1","CCAR2",40,10,1,12,1,0
"Metastasis from malignant tumor of prostate","17/232",0.000147093837202925,0.038197946987328,0,0,2.99175766436698,26.4005854847482,"TGFB1;MCM7;DAB2IP;PTEN;TWIST1;RUNX2;ACAT1;PREX1;NPEPPS;EDNRA;ADAM15;ATG7;BCAR1;ENG","BECN1;KDR;SPARCL1","",14,3,0,4,0,0
"Diabetes Mellitus, Non-Insulin-Dependent","68/1672",0.000206288326787184,0.0508913302183983,0,0,1.65410709035272,14.0371426800938,"IL1RN;PGAP3;IRS1;ITGB3;PTEN;UBE2Z;COMT;CMIP;FADS2;EDNRA;ALDH2;CHEK2;DAG1;CTSH;IL6R;TCF19;IGFBP3;ITGA1;HLA-C;SIRT6;SDHB;POMGNT1;PGF;RUNX2;MRAS;TBC1D4;HMBS;NOS1AP;MCM6;PPIA;SLC22A3;CDC123;CRABP2;GIPR;GSTP1;TSHZ1;SLC22A1;LPL;HMGCR;NT5C2;ABO;ACAT1;SRR;TSPAN8;CDKN2B;TGFB1;FAM78B;CMA1;LNPEP;IGF2R;PRRC2A;NDUFAF6;SCD;BCAR1","ADM;LEPR;KDR;ADAMTS9;PRKCB;AZGP1;FCHSD2;BECN1;LPP;COX10;FGFR4","ARHGEF12;ANK2;BICC1",54,11,3,19,1,2
